"","Title","Currency","amountAwarded","awardDate","Organisation","fundingOrg","fundingDept","grantProgramme","amountRequested","orgSize"
"1374","Youth First","GBP",146950,2020-01-01,"Youth First","Greater London Authority","Communities and Skills","Young Londoners Fund",239829.944153078,"med"
"1375","Balik Arts","GBP",26000,2019-09-01,"Balik Arts","Greater London Authority","Communities and Skills","Young Londoners Fund",24975.1624646289,"large"
"1376","Code 7 Ltd","GBP",89600,2019-09-01,"Code 7 Ltd","Greater London Authority","Communities and Skills","Young Londoners Fund",91022.4947824728,"large"
"1377","Coram","GBP",89571,2019-09-01,"Coram","Greater London Authority","Communities and Skills","Young Londoners Fund",124144.756856484,"small"
"1378","Deafinitely Theatre","GBP",73505,2019-09-01,"Deafinitely Theatre","Greater London Authority","Communities and Skills","Young Londoners Fund",87193.3417586943,"small"
"1379","Element","GBP",78000,2019-09-01,"Element","Greater London Authority","Communities and Skills","Young Londoners Fund",84149.5410322714,"large"
"1380","Epic ELM CIC","GBP",75000,2019-09-01,"Epic ELM CIC","Greater London Authority","Communities and Skills","Young Londoners Fund",72628.4678996131,"med"
"1381","Free2B Alliance","GBP",68518,2019-09-01,"Free2B Alliance","Greater London Authority","Communities and Skills","Young Londoners Fund",106339.59795623,"med"
"1382","Gloves Not Gunz","GBP",70395,2019-09-01,"Gloves Not Gunz","Greater London Authority","Communities and Skills","Young Londoners Fund",93026.3968858239,"small"
"1383","Groundwork London","GBP",79540,2019-09-01,"Groundwork London","Greater London Authority","Communities and Skills","Young Londoners Fund",107903.426734507,"small"
"1384","GT Scholars CIC","GBP",72825,2019-09-01,"GT Scholars CIC","Greater London Authority","Communities and Skills","Young Londoners Fund",110431.696611999,"med"
"1385","Hackney Play Association","GBP",90000,2019-09-01,"Hackney Play Association","Greater London Authority","Communities and Skills","Young Londoners Fund",92684.2684143678,"med"
"1386","Harrow Association of Somali Voluntary Organisations","GBP",87780,2019-09-01,"Harrow Association of Somali Voluntary Organisations","Greater London Authority","Communities and Skills","Young Londoners Fund",123005.397757407,"large"
"1387","Harrow Club W10","GBP",38830,2019-09-01,"Harrow Club W10","Greater London Authority","Communities and Skills","Young Londoners Fund",60777.9359657268,"small"
"1388","Hillingdon Autistic Care and Support","GBP",81000,2019-09-01,"Hillingdon Autistic Care and Support","Greater London Authority","Communities and Skills","Young Londoners Fund",50339.642964595,"large"
"1389","Iconic Steps","GBP",89871,2019-09-01,"Iconic Steps","Greater London Authority","Communities and Skills","Young Londoners Fund",108701.73493838,"large"
"1390","Magpie Dance","GBP",37546,2019-09-01,"Magpie Dance","Greater London Authority","Communities and Skills","Young Londoners Fund",35723.9438476049,"large"
"1391","Maiden Lane Community Centre Ltd","GBP",88151,2019-09-01,"Maiden Lane Community Centre Ltd","Greater London Authority","Communities and Skills","Young Londoners Fund",114010.640347552,"large"
"1392","MAN&BOY","GBP",75600,2019-09-01,"MAN&BOY","Greater London Authority","Communities and Skills","Young Londoners Fund",72309.4988645546,"med"
"1393","National Youth Theatre of Great Britain","GBP",89673,2019-09-01,"National Youth Theatre of Great Britain","Greater London Authority","Communities and Skills","Young Londoners Fund",134716.12578347,"med"
"1394","Pegasus Opera Company","GBP",75000,2019-09-01,"Pegasus Opera Company","Greater London Authority","Communities and Skills","Young Londoners Fund",110408.81183707,"med"
"1395","Playing ON Community Interest Company","GBP",19000,2019-09-01,"Playing ON Community Interest Company","Greater London Authority","Communities and Skills","Young Londoners Fund",17775.0969797015,"small"
"1396","Prospex","GBP",66142,2019-09-01,"Prospex","Greater London Authority","Communities and Skills","Young Londoners Fund",89864.5728604843,"med"
"1397","Salmon Youth Centre in Bermondsey","GBP",58995,2019-09-01,"Salmon Youth Centre in Bermondsey","Greater London Authority","Communities and Skills","Young Londoners Fund",67528.9266757805,"med"
"1398","Scarabeus Aerial Theatre","GBP",72910,2019-09-01,"Scarabeus Aerial Theatre","Greater London Authority","Communities and Skills","Young Londoners Fund",72345.7167655761,"small"
"1399","Smart School Councils","GBP",20000,2019-09-01,"Smart School Councils","Greater London Authority","Communities and Skills","Young Londoners Fund",14684.8178828344,"med"
"1400","South Hampstead and Kilburn Community Partnership","GBP",84734,2019-09-01,"South Hampstead and Kilburn Community Partnership","Greater London Authority","Communities and Skills","Young Londoners Fund",60913.2761674938,"large"
"1401","Tender Education & Arts","GBP",32883,2019-09-01,"Tender Education & Arts","Greater London Authority","Communities and Skills","Young Londoners Fund",38791.714945226,"med"
"1402","The Advocacy Academy","GBP",90000,2019-09-01,"The Advocacy Academy","Greater London Authority","Communities and Skills","Young Londoners Fund",115890.443257444,"small"
"1403","The Reasons Why Foundation","GBP",63000,2019-09-01,"The Reasons Why Foundation","Greater London Authority","Communities and Skills","Young Londoners Fund",71701.0353836725,"med"
"1404","The Screen Film Community","GBP",62340,2019-09-01,"The Screen Film Community","Greater London Authority","Communities and Skills","Young Londoners Fund",70230.5973370927,"large"
"1405","The Violence Intervention Project","GBP",90000,2019-09-01,"The Violence Intervention Project","Greater London Authority","Communities and Skills","Young Londoners Fund",72395.5465451296,"large"
"1406","TransformUK","GBP",85230,2019-09-01,"TransformUK","Greater London Authority","Communities and Skills","Young Londoners Fund",66203.0674837329,"large"
"1407","Wac Arts","GBP",89940,2019-09-01,"Wac Arts","Greater London Authority","Communities and Skills","Young Londoners Fund",146271.81229596,"large"
"1408","Waltham Forest Dyslexia Association","GBP",25000,2019-09-01,"Waltham Forest Dyslexia Association","Greater London Authority","Communities and Skills","Young Londoners Fund",26525.611727586,"large"
"1409","Youth First","GBP",77390,2019-09-01,"Youth First","Greater London Authority","Communities and Skills","Young Londoners Fund",96256.3629084906,"med"
"1410","Grant to 'London Youth'","GBP",420000,2020-01-24,"London Youth","Greater London Authority","Team London","HeadStart Action YLF -Round 2",442371.902057086,"large"
"1411","Grant to 'Rinova Ltd'","GBP",372000,2019-12-17,"Rinova Ltd","Greater London Authority","Team London","ESF-GLA 2014-20 Head 2Work",300683.800955094,"small"
"1412","Club Soda","GBP",7151,2019-12-02,"Club Soda","Greater London Authority","Team London","Small Grants Programme 2019/20 : Social Prescribing",6002.85150814847,"med"
"1413","Hackney Herbal","GBP",10000,2019-12-02,"Hackney Herbal","Greater London Authority","Team London","Small Grants Programme 2019/20 : Social Prescribing",13884.403346233,"small"
"1414","Riive","GBP",10000,2019-12-02,"Riive","Greater London Authority","Team London","Small Grants Programme 2019/20 : Social Prescribing",12341.0418816367,"large"
"1415","Havering Volunteer Centre","GBP",9874,2019-12-02,"Havering Volunteer Centre","Greater London Authority","Team London","Small Grants Programme 2019/20 : Social Prescribing",13177.548802486,"small"
"1416","A Mile in her Shoes","GBP",8500,2019-12-02,"A Mile in Her Shoes","Greater London Authority","Team London","Small Grants Programme 2019/20 : Social Prescribing",11893.6985379295,"large"
"1417","Outside Edge Theatre Company","GBP",10000,2019-12-02,"Outside Edge Theatre Company","Greater London Authority","Team London","Small Grants Programme 2019/20 : Social Prescribing",15289.7162642863,"small"
"1418","Sport 4 Health CIC","GBP",10000,2019-12-02,"Sport 4 Health CIC","Greater London Authority","Team London","Small Grants Programme 2019/20 : Social Prescribing",11127.566642632,"small"
"1419","The Parent House","GBP",9552,2019-12-02,"The Parent House","Greater London Authority","Team London","Small Grants Programme 2019/20 : Social Prescribing",10879.9085641266,"large"
"1420","HostNation","GBP",9170,2019-12-02,"HostNation","Greater London Authority","Team London","Small Grants Programme 2019/20 : Social Prescribing",10736.5101094612,"large"
"1421","Learn English at Home","GBP",10000,2019-12-02,"Learn English at Home","Greater London Authority","Team London","Small Grants Programme 2019/20 : Social Prescribing",15280.7830590765,"large"
"1422","Forty Hall Vineyard","GBP",9820,2019-12-02,"Forty Hall Vineyard","Greater London Authority","Team London","Small Grants Programme 2019/20 : Social Prescribing",7301.14351857466,"med"
"1423","Leaders In Community","GBP",10000,2019-12-02,"Leaders In Community","Greater London Authority","Team London","Small Grants Programme 2019/20 : Social Prescribing",16262.0864051189,"large"
"1424","Shpresa Programme","GBP",10000,2019-12-02,"Shpresa Programme","Greater London Authority","Team London","Small Grants Programme 2019/20 : Social Prescribing",11389.0214685106,"small"
"1425","Entelechy Arts","GBP",10000,2019-12-02,"Entelechy Arts","Greater London Authority","Team London","Small Grants Programme 2019/20 : Social Prescribing",12723.5262642541,"small"
"1426","Advice 4 Renters","GBP",10000,2019-12-02,"Advice 4 Renters","Greater London Authority","Team London","Small Grants Programme 2019/20 : Social Prescribing",9249.07240585562,"med"
"1427","Grant to 'Voyage'","GBP",14270,2019-12-02,"Voyage","Greater London Authority","Team London",NA,18579.2650374797,"small"
"1428","Grant to 'The Avenues Youth Project'","GBP",10928,2020-03-01,"The Avenues Youth Project","Greater London Authority","Team London",NA,11561.7741060114,"med"
"1429","Grant to 'Black Training and Enterprise Group'","GBP",15000,2020-03-01,"Black Training and Enterprise Group","Greater London Authority","Team London",NA,15706.4632617371,"large"
"1430","Grant to 'Writerz and Scribez CIC'","GBP",15000,2020-03-01,"Writerz and Scribez CIC","Greater London Authority","Team London",NA,17904.5934124634,"med"
"1431","Grant to 'Afghanistan and Central Asian Association'","GBP",14925,2020-03-01,"Afghanistan and Central Asian Association","Greater London Authority","Team London",NA,22073.105226867,"med"
"1432","Grant to 'YES Outdoors'","GBP",15000,2020-03-01,"YES Outdoors","Greater London Authority","Team London",NA,18505.3620792259,"large"
"1433","Grant to 'MVP Workshops'","GBP",12487,2020-03-01,"MPV Workshops","Greater London Authority","Team London",NA,15742.9257641396,"med"
"1434","Grant to 'Magpie Dance'","GBP",14885,2020-03-01,"Magpie Dance","Greater London Authority","Team London",NA,13390.8993612547,"small"
"1435","Grant to 'Groundwork London'","GBP",372000,2020-03-01,"Groundwork London","Greater London Authority","Team London","ESF-GLA 2014-20 Head 2Work",457040.65418772,"large"
"1436","Grant to 'Big Ideas'","GBP",7000,2019-12-01,"Big Ideas","Greater London Authority","Team London","Euro 2020 Schools Engagement Social Action Fund",7985.48171568632,"small"
"1437","Grant to 'WE Charity'","GBP",864000,2018-01-01,"WE Charity","Greater London Authority","Team London","Team London Young Ambassadors",933114.71054971,"med"
"1438","Refugee All Stars #We Stand Together","GBP",139130,2018-10-31,"Croydon Voluntary Action","Greater London Authority","Sport Team","London Together",194311.598767906,"large"
"1439","Tottenham Silver Sports","GBP",131088,2018-11-01,"Groundwork London","Greater London Authority","Sport Team","London Together",155130.152867302,"small"
"1440","Shared Futures","GBP",123200,2018-11-02,"Celtic FC Foundation","Greater London Authority","Sport Team","London Together",185074.955411465,"med"
"1441","FBB: Every Ends","GBP",117500,2018-11-03,"Football Beyond Borders","Greater London Authority","Sport Team","London Together",128511.048880442,"large"
"1442","Muslim Girls Fence - Communities","GBP",111000,2018-11-04,"Maslaha","Greater London Authority","Sport Team","London Together",88255.1751521884,"small"
"1443","London Futures","GBP",104920,2018-11-05,"The Change Foundation","Greater London Authority","Sport Team","London Together",114985.140288417,"large"
"1444","Sport for Inclusion","GBP",64253,2018-11-06,"The Royal Society for Blind Children (RSBC)","Greater London Authority","Sport Team","London Together",89412.0778218897,"large"
"1445","Women Together in Finsbury Park","GBP",64352,2018-11-07,"Holloway Neighbourhood Group","Greater London Authority","Sport Team","London Together",89060.7035052577,"small"
"1446","East London United","GBP",61259,2018-11-08,"Salaam Peace","Greater London Authority","Sport Team","London Together",58100.9227140088,"large"
"1447","All Together - Deaf Londoners Activation Programme","GBP",149650,2019-09-30,"UK Deaf Sport","Greater London Authority","Sport Team","London Together",206183.722576417,"med"
